Reviews,Recommendation
"super light, the paper white is a huge success and the battery life is as advertised. however, it is so light and small it mandates a protective case-but they are never in stock or otherwise available.",Medium
i have had several variations of the kindle in the past. my most recent being a paperwhite. i have to say this is the best. the size and balance are better. the adaptable light feature and brightness is good. screen quality and construction are both an improvement. the overall reading experience is much improved over the paperwhite.,Medium
perfect reading light and long battery life. i really love it.,Medium
this kindle is very light so easy to hold for a long time without getting tired - worth upgrading your older version kindle...,Medium
"this kindle replaces a previous model. the size is great, fits easily into purse or gym bag. the touch screen is a nice improvement over my earlier model. the backlit screen is good. bright enough but not too bright. overall, i am very pleased",Medium
bright screen which makes reading it day or night easy,Medium
"this beats my 2 older versions, hands down. can either swipe or press to change pages. easy. really lightweight. super!",Medium
"great, lightweight, easy to carry and great picture for reading.",Medium
bought for my wife. she loves it. reads it in bed and the light adjusts accordingly,Medium
i would highly recommend this reader for anyone. easy to download books and fast! love the fonts and sizes. lightweight. great for travelers.,Medium
"the only issue with this kindle is the price, otherwise, it's awesome. light, compact, with a long battery life and tons of features... like an automatic backlight which is useful if you read at night.",Medium
the screen is very sharp and easy to use. the letters are crisp and distinctive. the back light works well in the dark or light. i have no problem reading at night in the dark or during the day outside in direct sunlight. the new page press buttons are perfectly placed and very convenient. it's light weight and small enough to hold in one hand whole reading. i only have to charge it every 2 weeks.i would recommend this edition to anyone who enjoys reading.,Yes
"it took awhile to get this kindle as it was out of stock, but it was worth the wait. it is easy to use and the text is very clear. i have had a kindle before but this model is so much better. most enjoyable.",Medium
this kindle has better resolution and contrast ratio.it is light and comfortable. i would recommend this device at deal price.,Medium
easy to use and get started with. have had no issues at all and would recommend.,Medium
"i had been reading on my ipad mini most of the time, but around the pool or at the beach, that was almost impossible. the voyage is great not only in bright sunshine but inside, even in a pretty dark room. the back light is great for just about any environment. the battery life is fantastic.",Medium
i love the back light and has lots of memory. very compact...easy to carry.,Medium
i wanted a reader that was easy to use indoor or outside. i am very pleased and so glad i purchased this product. ordering books is also very easy.,Medium
"this is my first foray into purchasing a reader...i reviewed multiple sites and opinions before i made a move on this purchase...and not disappointed, can read anywhere in any light",Medium
"i have never owned a kindle and was using the kindle ap for ipad for the last several years. this little device is remarkable. the page is crisp and clear, the navigation is so easy. purchases are simple and straight forward. i love it!",Medium
the kindle voyager has a very easy to read screen with great resolution.,Medium
the type resolution is fantastic and the screen brightness auto adjust compensates perfectly for both dark rooms and full sunshine on the beach!,Medium
"lightweight, easy on the eyes, easy to use, many wonderful features",Medium
"i have had several kindles beginning with the 1st generation. i am an avid reader and i love that i can take my library with me. the kindle voyage is by far my favorite. the printed page is very clear and the lit page is wonderful. if you enjoy reading as much as i do, this is the e-reader for you.",Medium
i bought this after my kindle keyboard died. i like having a dedicated reader. its easier on my eyes. its light weight and fits in my purse with the cover on it. the ads don't bother me. great purchase,Medium
this is my first kindle. i'm not sure how i lived without one now. the screen is excellent. i love being able to read outside (no glare!!) and in bed (built in light!). not sure how useful the automatic light adjuster is but it is a neat idea. maybe as i use it more i will come to appreciate the automatic light adjustment.,Medium
i love my kindle voyage.... it's light and oh so easy to use... it's wonderful to have so many books in a portable format!,Medium
ive had the 1st kindle so it took time to get used to no keyboard but love the built in light that has auto adjusting. the homepage isnt as friendly,Medium
more confusing. it would be nice to have a manual that is not online.,Medium
"the flush bezel and display are a huge improvement. the text is crisp and easy on the eyes. the page press function and inclusion/position of the touch sensors is perfect. the price seems a bit high for something as simple as an e-reader, but if you love to read this is a must have. you will not be disappointed.",Medium
"works great indoors & out. very light weight & easy to carry, even in a pocket. amazon downloads are easy & quick.",Medium
"this item was a replacement for a misplaced/lost kindle voyage. it is my go-to ereader, compact, light-weight, and read anywhere (bright sun, shade, at nite) device. the kindle paperwhite could have been equally useful, but i was spoiled with the voyage. as a note, i also have an ipadmini and an ipad air2, but they are much heavier to lug around.",Medium
"this is my first kindle but i'm loving it. i picked it up a few days after it was released. one of the things i love the most is i'm a reader but i am not a car owner so i get almost everywhere by bike. i got tired of lugging around heavy hardcover books from the library; now my voyage weighs less than most paperback books. an extra bonus for me is, it fits in a pocket i wasn't using in my pannier i carry stuff to work everyday. i love the clarity of the text and pressure point page turning versus screen swipes. i also love that i charged it when i got 4 days ago and it is still more than have battery power.",No
i have a paper white 1 and 2. honestly it is difficult to justify double the price value. i certainly like most added features but not sure its worth the extra money. to note it operates great just not sure its worth an upgrade to the latest greatest.,No
"user friendly and features a 4gb capacity for ample storage. pagepress provides reimagined page turns, and an adaptive front light promotes visibility in dimly lit areas. so far so good!",Medium
hy husband loves his kindle.the back light so he can read anywhere with low eye strain is awsome,Medium
it is a great investment. can read at night without disturbing partner. only disadvantage is if you lose your place it is a little difficult to find it. this could be user problem.,No
"goal: get an e- reader that allows one to read in any light situation. goal achieved. reading on the patio, beach is great. easy to download books, lightweight, good battery life are all pluses",Medium
"the new voyage is so much better. they've made some major improvements. i love that you can swipe, or use the side controls. the writing is crystal clear. the batter life lasts forever. i recommend this to anyone!",Yes
i read a lot so i wanted a light weight device. it's user friendly. you can adjust the brightness of light and turn pages easily. it fits nicely in my bag. i take it everywhere. i highly recommend it!,Medium
"pros - weight is super light, small size, long battery, i fell it to floor a few times and screen didn't breakcons - it takes half second for the next page to appear on screen when turning pages, similar to ""fade in"" animation in powerpoint. i would prefer more seemless appearance of next page.",Medium
"to begin with this is the best reader available right now. brighter than the pw2. just awesome. whether or not its a worthwhile upgrade from the paperwhite is another topic. either way, it's a great piece of hardware- light, good grip, light etc. there is one huge issue however! the background light is not uniform- it is tinged yellow towards the top and blue towards the bottom of the device. for a $200 device thats unacceptable! how much that bothers u will be subjective and u wont notice it as much once u get into your book. the problem was present on all 3 devices i purchased (and returned), to the exact same degree. i kept the last one because it still is an awesome reader and it seems like its a production issue. going through amazon reviews, various online forums- it seems to be present on a large number of devices if not all. amazon refuses to address the issue, probably because they'll get sued or something for releasing a wonky product, like the iphone antenna problem bottom line- great device, but you have a high risk of receiving a unit with the gradient issue (youtube it if u cant visualize what i'm talking about, tons of videos out there describing it) . how bad it is seems to depend on your personal luck, or which batch your local bestbuy has stock from, and most importantly it will bother you / what youre willing to settle for. in my case, i hated it but there was no alternative- the pw2 seemed like a huge downgrade in a head to head comparison so i decided to keep my voyage and live with it. if thats a problem for you, wait for the 2015 edition. the pw1 had this issue apparently and it was addressed quietly by amazon in the pw2.",No
"love the backlight, great feature. very light weight almost too much so.",Medium
"i upgraded my kindle to the kindle voyage because i read in bed and the lamp kept my husband awake. i thought i would be able to use this kindle without the lamp, but for me it is hard to read with the room completely dark even though the back lighting is adjustable. i still use the kindle with the lamp on, but tilted to the floor so that there is just a little light in the room....i bought the magnetic case so when i open the lid, the kindle wakes up. it is a little smaller than my old kindle and fits in my purse perfectly. all in all i love it and would highly recommend it.",No
"the kindle voyage is light weight, slim. easy to use and so far has been a good product. the page turns very easily and the light works very well. the anti glare screen is the best!",Medium
"the more i thought about using my phone to read ebooks, the less i wanted to read. but the voyage has gotten me back into reading. light. holds charge for week at least. only request is i wish it could do white letters on black at night.",Medium
"the new design is lighter, has a longer battery life and the page displays are crisp and clear. the light adapts to the environment you are reading in to keep the image consistent. the new kindle voyage is amazing!",Yes
have owned 2 kindles this is far the best. no light required. simple to use,Medium
great product love the auto adjusting black lightlove the weight of the kindle light enough i can hold it with one hand an turn the pages,Medium
i never owned a kindle before. this was easy to setup and get going.it also looks really good. the text is super easy to read even at smaller fonts. i also really like the buttons on the side that turn the pages because it is a lot easier to flip pages compared to tapping the screen.,Medium
i was skeptical but glad i purchased. much faster than nook or the paperwhite. thin and easy to use. screen appears brighter and wider than the paperwhite. very thin and lightweight,Medium
i love the adjustable font size and the front light which allows me to read in any lighting even without my glasses. pagepress allows me to turn page effortlessly and i can close my book turning it off and when i resume reading i'm right back where i left off. love it. capacity is unbelievable.,Medium
had the older model that didn't light up... was always having to get to a lamp. now i can read anywhere without any worries. the light adjusts as needed. i get lost in my book without any worries. the screen is perfect size with great clarity and easy to travel with.,Medium
do most of my reading on one of my kindles. reading in sun light to no light is great. easier to take anywhere size wise compared to a paperback. really great for traveling. download several books so i have a variety to read from. long charge life.,Medium
"easy to navigate, i love it despite the charging port. charging port doesn't last very long though. just purchased my second one.",Medium
even my luddite spouse loves it. easy to use. read in full sunlight.,Medium
great ereader. light and easy to use. only issue is a bit pricey.,Medium
"my first ebook reader. read some reviews, decided to go with this because of the backlight and adaptive light. sometimes i have to adjust the light manually but no biggie, quick and easy on the eyes.",Medium
"i really missed my first kindle when my husband gave me a fire 2 years ago. i love to read outside and could not do that with a fire. the voyage is perfect, easy to read anywhere, much longer battery life than a fire. very happy with it and the buttons are easy to use or you can just tap the screen to turn the page.",Medium
"great looking display. text is sharp and easy to read. the lighting of screen is wonderful for reading in lower light environments. this is a little more compact than the paper white model. i really love the page press button areas. makes it so you can turn pages without adjusting your hand (as long as you are holding the voyage with your thumb resting in the button area). sounds like a minor thing, but to me it's a big convenience!",Medium
highly recommend. battery is perfect. light weight too!,Medium
"the voyage is my first ereader and i am not disappointed. it is light, clear and a joy to use",Medium
small and easy to carry in my purse. i like that i can change the page on the sides without consistently dirtying the screen with fingerprints.,Medium
very light weight and easy to read in different lighting conditions. does not strain my eyes like the kindle fire if reading at night. i do wish bestbuy carried more options for cases to fit the voyage. they have none in the store at all.,Medium
"i love my kindle for reading over my ipad now. best buy gave me a good deal on this kindle, and fast and friendly service. this kindle is easy on my sensitive eyes and a pleasure to hold. i would recommend this to anyone looking for an e-reader.",Medium
i had one of the original kindles and i found that i just absolutely quit reading and it was because of the bulk and size of the kindle. i decided to give this one a try and i absolutely love it and i'm back to reading every day and the reason is because it is more the size of a paperback. it's lightweight and i love that i can read at night without having have a light on. i did however purchase the geek squad protection after my dog that was sitting in my lap almost said it flying to the floor when he jumped up out of my lap,Yes
"i waited for weeks to get this new model and am happy i did. i love the new features on the kindle voyage. didn't give it 5 stars due to some difficulty with the pressure sensitive buttons. i don't know if it is a flaw with the design or operator error, but sometimes it is more challenging than i think it should be to get the page to turn. it is far easier to swipe the screen so this is what i typically do. but, regardless. . . i love the voyage! it was definitely worth the wait!",No
"so happy with this kindle! it's very easy to use, lightweight so you can carry it in your bag like you would with a paper book, except here you have an entire library with you.",Medium
"love it, love it!!! have had several different models. like this one the best. the kindle fire was nice but had a hard time reading at night.",No
"one of the things i love the most about my new kindle is it's size. it slides so nicely into my compact purse, protective case and all. another thing i've noticed is the lack of glare that i experienced with my old kindle. it automatically adjusts to the light and i'm looking forward to being able to read it on the beach without a struggle. i also love the battery life - it goes on forever. the case i bought makes it possible to stand my kindle up in front of me and read while i'm eating - a must for me - i never eat alone ;)",Yes
"i upgraded from the kindle touch so i could have a built in light. the light is fantastic. while it took some getting used to the press buttons for page turning on the side, i love that too. can use it with one hand, and don't have to take hands off to touch the screen. the documentation could use some work. a diagram with what all those icons are that they refer to would be a big help. took me a long time to figure out how to get the reading progress to what i wanted. one thing, i hate the new bookmark method. the old 'corner fold' was easier and less intrusive. still can figure out how to delete from my clippings. also i wish amazon would come out with a case similar to an otter box. i don't want leather or auto turn on, which seems to be problematic on nearly every case i look at.",No
"easy to use. comfortable to hold-lightweight and good size. the light adjustment is great. easy to inadvertently turn the page-sometimes more than one-still trying to figure out how not to do that. over all, though very happy with it",Medium
"first, the good news. the screen is a nice brightness and the words are crisp and clear. best of all, it is so light and tiny (esp. in the origami case) that it is super-easy to carry around in a purse. love that. also it has an amazing battery life; i have never had it run out on me and i don't even have to recharge it all the time. i thought this would be perfect but i am having two problems: (1) turning pages is not as easy or pleasant as my much-older, now-defunct kindle. if i don't touch the screen in the right place, the page won't turn, and it usually has an annoying split-second black flash on the screen. the ancient kindle was easier. (2) about half the time, when i return to reading, the screen is ""frozen"" on the ad. it says ""swipe to open"" but no amount of swiping gets it going. i have to reach to the rear of the kindle (which means disassembling the crimp in the origami) to press the button on the back to get it to function again. there is no rhyme nor reason to when this happens but it's about half the time. perhaps i am doing something wrong regarding both flaws but there is no one to ask about it, best buy staff doesn't know.",Medium
"this reader is much more comfortable to hold than the paperwhite. it is not quite as light as the nook glowlight, but the screen is much sharper.",Medium
lightweight easy read easy page turning self adjusting read light great too.,Medium
"wow! it is so nice to have a light and easy to hold device that only carries tons of books! no distractions like on my ipad, with email messages pinging in and facebook updates to check...just books and lots of them!the kindle voyage is everything they said it would be...light, back lit with self adjusting levels, page turners, all the bells and whistles. i am so glad i waited and splurged for this one!",Medium
the reader is very compact so it can easliy fit into a bag or pocket. the auto light feature is also a plus.it takes a little bit to get adjusted to the side tabs and presume that future versions of this device will be improved upon.,Medium
"i bought this as a replacement for an older model kindle my father wore out. unfortunately, he cannot remember the email and password for the older model, so i cannot transfer the thousands of books he has to the new kindle. always write down that important information somewhere, it will make life a lot easier!",Yes
very nice and easy to use and the kindle is great.,Medium
"extra features are nice and upgrading from the kindle paperwhite was fairly simple. amazon did an automatic system update which was not cool. there should have been an option to update when we wanted, not when they wanted.",Medium
new kindle voyage is a nice upgrade from the basic model. smaller e reader with a brighter light. so far so good.,No
"great for reading any book, light weight, easy to use best kindle on the market.",Medium
"clear screen, buttons act up a little. after numerous days of review i feel that this was the best option.",Medium
have had it for a while noe. a littlebit unusual to press so hard to change page but now starting to get used to it.,No
the voyage is light and has a battery life of two weeks. in different light settings the voyage automatically adjusts. my eyes do not get tired from bad lighting. reading outside is no problem for the voyage.,Medium
love this product. glad i upgraded! the features make it easy to read while traveling by car or plane.,Medium
"i find myself reading even more now that i have the kindle voyage. it is easy to hold and maneuver, the perfect size, small and sleek. page turning is easy with one hand and the back light makes reading in any setting a pleasure.",Yes
"i've enjoyed the original kindle (with keyboard) for many years, and it was finally time to upgrade. the light is great, and i use the page press buttons exclusively. very happy with the size, weight, and appearance of this product.",Yes
"my wife cannot put this device down. crystal clear image and great for those long airplane rides. this is a very lightweight device, very functional and very user-friendly.",Medium
pros - light compact bright fast response from touch screencons- hard to navigate. i use my old kindle with buttons to browse. this kindle can be frustratingwith its overly sensitive touch screen.overall a very good reader but no need to purchase if happy with paperwhite versions. for someone new to kindle it is worth the price as long as have another electronic device to browse the kindle site.,No
ergonomic and easy to get new books. my house is full of books and i need to quit stockpiling them. and i can't remember what i read years ago. this device helps.,Yes
"i have had both older e-ink kindle and nook readers as well as the larger color screen versions and this new one is the best one yet. very light, portable, battery lasts a long time. the screen is much better than the older e-ink kindle. i recently binged through the 4th book of game of thrones, and it was an easy read on the kindle. i highly recommend this to any reader. my teenage daughter also enjoys reading on the kindle as well as opposed to the regular books.",Yes
very easy and portable i take it everywhere with me,Medium
"the automatic light adjustment is pretty cool, but i find myself accidentally covering the sensor which really throws it off.i like being able to press the buttons on either side instead of touching the screen. i also appreciate the flat surface, it doesn't seem to attract as much dust in the corners like my other kindles.",Yes
"i like the small, light weight size, and the adaptive lighting. but the page turning is too sensitive, skipping ahead many pages when i am just moving the kindle, and going back and then forward when i am trying to change just one page.",Medium
love the new look and feel of my new kindle voyage. i especially love how it adjusts the reading light automatically.,Yes
"this new kindle is so much easier to read than my second generation kindle that i had for years. it is faster, and the back-light can be adjusted easily to get the right amount of light for your reading pleasure. if you love books, you should get this.",Yes
"i am extremely pleased with my kindle voyage. it lives up to the hype. it is slightly smaller and lighter than the previous version. the ambient light monitor works well. text is clear and very readable. my only negative comment would be that the battery does not seem to last as long as i expected. i have recently retired; so i am reading more. i recharge the reader about every week and a half. that said, i am reading indoors and perhaps the ambient backlighting is on more than normal.",Medium
"this is by far the best reader for all lighting environments. the only drawback i see are the constant ads when you log on to the device, and the library interfaceneeds to be more intuitive. however, i'm very satisfied with my purchase and use of this voyage. i've already read over six books with it in just 3+ weeks.",Medium
"this kindle makes reading even more enjoyable. very light in the hand, amazing back light. very highly recommended.",Medium
"the kindle voyage is the best e-reader experience available. text is super-sharp, it's comfortable to hold, the built-in self-adjusting light is awesome, and you change the page by either swiping with your finger or pushing down on the bezel. unfortunately, all those great features come at a $199 price that is $80 more than amazon's kindle paperwhite and more than double the cost of the company's entry level reader, both of which are excellent in their own right. so five stars for the device itself and minus one star for the high price.",Medium
love the small size and the auto light. use this every day.,Medium
"excellent screen, the small changes to the form make a huge different (i adore the flatness so much), and the brightness is a perfect for daylight. imo, worth the cost",Medium
"when i compare the screen of this voyage to my previous paperwhite, the qualify of the display was much better. light is more even and soft.",Medium
"hands down the best ereader available. i researched several devices and it came down to the paperwhite and the voyage. there is a pretty hefty price premium for the voyage. most people will probably be very satisfied with the paperwhite. i typically need reading glasses to read regular size print. on an ereader the font can be adjusted to make it large enough so i don't need to use the glasses. that means less text on each page and many more page turns. the physical ""buttons"" hep make the page turns easier and extra light brightness helps to add contrast to the text. these were enough to sell me on the voyage. it was the right decision and i love the device.",Medium
"to advance the page or go back to the previous one, just press lightly on a pair of gray lines and dots on either side of the front bezel. is nice to see the transition. this kindle is readable in any light. thereã¢ââãâãâ´s even an optional ""nightlight"" mode that gradually changes the brightness. lastly, the power button has been moved back here from the bottom edge.",No
i bought this unit for my daughter who loves to read but sometimes get frustrated by the size format of paper books and the weight of traditional tablets. the e-ink is super easy to read and the unit weighs next to nothing. a bit spendy for something you can only use to read on but so so nice to use.,Medium
"this is my third kindle and is the best by far. the smaller size is great because it fits nicely in my purse so i never leave home without it. other great features are page turning, adjusting light and weight.",Medium
text is clear. nice not to have the battery die every few days like a conventional tablet.,Medium
this is very easy to read and just the right size and weight to carry.,Medium
"easy to read, great product when i use different readers they keep tract of where i am in each.",Medium
"this is definitely an improvement over the paperwhite, not sure is worth the premium though. while faster than paperwhite it is still way less responsive than an ipad, it is very hard to type on it (when searching or sharing on goodreads for instance).i like the navigation areas on the edge of the screen but i'm not crazy about them. i'm not sure what would be a better alternative but they are not all that comfortable while reading in bed. i guess a thumb swipe would still be better if the device would respond more nicely.i previously had a paperwhite which got lost and i thought i'd better buy the latest kindle now.when i bought the paperwhite it has been an experiment, as i'm not an avid reader and i have a hard time reading paper book since i got surrounded by gadgets. i actually read few books on the paperwhite and i enjoyed it. so when i lost it (misplaced it) i was longing for it as i had few books i wanted to read.if this would be priced at least $50 cheaper i think it would be a 5 star proposition. like it is now, it is a tad too expensive for the scope and the shortcomings. closer to $100 it would be a sweet price.prefered buying at bestbuy over amazon as the loyalty programs are better (vs nonexistent) and i also used a movers coupon.",No
this was a move up from the paper white reader. i like the option of touch screen or using the pressure switches on on the side which you can adjust to your pressure that you prefer. sharp fonts refresh is fast and clean.,Medium
got this product for a relative for christmas who had a kindle fire and was looking for an upgrade. with how far technology has grown on phones she was only looking for a reader and something that was lighter on her thumbs when reading then her kindle fire. this product was not only lighter on her thumbs but also worked great in any light.,Medium
bought this reader for a present for my mom. she loves it. able to take her book with her in a smaller form loves how it looks like paper pages. easy to order a new book.,Yes
this kindle has easier viewing and the light adjustment is great.,Medium
"my husband is bed bound and sometimes very weak. the kindle is great for him ,light easy to use and the back light allows him to read in bed without waking me to turn the lights on.",Medium
"works great, looks great, readable in bright sun...",Medium
great product. she uses it everyday. super light and easy to navigate.,Medium
"bought this for my wife as a birthday gift. she has really enjoyed it. it is easy on her eyes, light weight, and keeps a god charge. it is easy to use, but she does already have experience using the original kindle.",Yes
"i know there's a separate product page for the origami cover, but it's worth mentioning here as it is the ""official"" cover. the origami cover is ugly and i was skeptical, but i actually love it. it's weird because it opens by flipping over the top like a notepad. this actually makes it more comfortable to hold when the cover is open, in my opinion. it's hard to describe, but there are a lot more ways to hold the voyage when it's attached to this cover, and just generally is more comfortable to use. the origami part of the case works great as well... it stands vertically or horizontally (if you're laying down and reading, this is amazing).",No
"definitely easy on the eyes for long reading sessions, especially when compared to the lcd screens of smart phones and tablets. the only issues we had were that it drops the connection to our wifi network and then won't connect to the kindle store. i don't think it's an issue with my network since all our other devices don't have the connectivity issues we had with this.",Medium
"i originally purchased the paper white and after a week of that, i decided to upgrade to the voyage for a couple reasons. 1) perhaps my phone has made me lazy but i've grown accustomed to auto-brightness. it's something that i don't even really think of at all... until you have to manually adjust it. the voyage is currently the only kindle that automatically adjusts the brightness of the screen. i've read reviews that question the efficacy of it, and those people tend to say it's hit or miss. i humbly submit that that is because it's a 'smart' auto-brightness that adjusts to your preferences at certain light levels. for instance if you're in a dimly lit room and the screen is too bright for you there, and you manually turn it down a few notches the next time you're in that room, the kindle will remember what your screen brightness preference was at that light level and adjust. i have had no problems with this feature and consider it the most indispensable feature on the kindle. it's brilliant.2) page turn haptic buttons. these are great, and allow me to not need to move my hand at all to turn a page, i simply squeeze. i do wish they had been placed slightly higher on the device as i find i've needed to adjust my grip lower than i normally would have held on to the device. it's very nice having the option to not need to swipe the page to turn it.3) the flush screen. this makes a big difference to me - i was not a fan of the recessed screen on the paper white and even the nook has a flush screen! amazon really needs to introduce waterproof kindles and a flush screen is going to be necessary for that. this is also my only negative about the device - the screen appears to be slightly more reflective than the paper white and i've heard (wether it's true or not) that is because the voyage has a glass screen, while the paper white has plastic? i'm not sure, but the only time i notice this is when i'm reading the the sun is directly behind me. i may need to tilt the screen 5 degrees in any direction and it's easily readable again.4) the general design is sleeker and feels better in my hand than the paper white. this also allows the device to be slightly lighter than the paper white, which is always a good thing.to recap - this is the only kindle to feature the auto-brightness feature (not even the oasis has it--probably to save on weight) and in my opinion a worthy upgrade over the paper white.",No
"this ereader is great, i have started reading more now that i have this kindle than when i read paperbacks. if you are torn on buying this for yourself or someone else i can almost guarantee anyone would love this. with enabled dictionaries and x-ray i'm finally able to tackle books with a heavy character list like game of thrones. i'm serious, this is so convienent and user friendly. the only negative about this device is the amount of money you will spend on new books in excitement when you first connect to amazon with it.",No
i am an avid reader. i use to have to pack multiple books on any vacation or trip for business. this has replaced all that. this is my second kindle and i am very impressed. the back light helps for reading at night or in bright places.,Medium
i love the voyage. the display is clean and crisp and i have found the auto adjusting lighting to work perfectly for me. i love the side page turning buttons. i no longer have to use two hands to read a book anymore.,Medium
"i find it amusing to ask alexa simple questions and timers. not liking the messaging part that doesn't integrate with my iphone, but it has awesome notifications and does sync with my google calendar. i feel it was an excellent purchase.",Yes
very clear picture on monitor easy to install with mobile phone and quite enjoyable to ask questions alexa is very informative.,Medium
"after researching the amazon echo and the google home equivalent, i decided to go with the echo since that one was recommended for apple users. i found the set up to be easy and very user friendly. i love it!",Medium
i ordered the first generation amazon echo which wasn't easy to find by the way. i absolutely love it. the sound quality is great! i have it in my living room to play music which i can hear in all of my downstairs rooms. i couldn't be more pleased!,Yes
"while there are some apps that are missing due to not using the google play store the list is minimal. the tablet itself is quick, responsive, and noticeable nicer than the 7"" fire. picked this up when it was on sale for black friday sales. it's great for in front of the tv and catching up on email and light web browsing.",Medium
best buy ever for my 3 year old. only purchased because they were out of the galaxy tablet. i'm glad. this tablet is perfect for my 3 year old. i love that it has 2 modes. the kids mode sometimes freeze and takes a minutes for apps to open. also didn't download netflix movies like indicated. but regular mode works great. my daughter loves watching weird homemade youtube movies anyway.,Medium
i am bring it back for an exchange. (a different make),Medium
"a family member has vision problems. they had seen/used the kindle of another family member - especially the ability to scale text. this device will make it possible to read, which she has had extreme difficulty doing.",Medium
"this fire hd 8 is my first such device. i find it to be easy to operate and very responsive.the touch screen control takes getting used to as i often click on the wrong close part of the screen and have to go back. the alexa voice assistant surprised me when she announcedherself over the speaker. (i shut her off since i'm not a fan of conversing with computers).my main complaint is that comes with nothing but a charger and cable. the wordless, pictorialstart up instructions were primitive and vague. there are no instructions on how to use thisdevice; no sample book to test and get familiar with. there is a help function thatfills in some basics of functionality but not thorough enough. the wifi connectivity is great, using the latest protocol and encryption. it has a simple web browser but web time also seems to be the greatest drain on the battery. the cable can be used toattach to a windows pc and transfer files (books, music, pictures etc). i would also recommend buying a protective case for if its ever accidently dropped.",Yes
"the clarity of the screen and the back-lit text makes this an improvement from my old tablet. i now can read this in low light and enjoy the color as well. i am enjoying my new kindle, but it did present some challenges in its set up. i would recommend getting help in the store to get you started.",Yes
i was pretty impressed with this little device. it was easy to setup and works rather well. i had also bought a ipad air 2 with 128gb during bf for $375. after playing around with the hd fire i returned the air 2 because it met my needs at a much lower price. i added a 64gb sd card and am downloading movies from netflix. the hd display is very clear. battery life could be a little better but overall i'm very satisfied with it. the free stuff you get with an amazon prime account is icing on the cake. i dig it!,Medium
"keep your child entertained with this amazon fire kids edition tablet. thousands of child-friendly e-books, tv shows, games and educational apps accessible through this tablet engage your child in a healthy way, while its kid-proof case prevents easy damage. an expandable memory of up to 128gb on this amazon fire kids edition tablet provides plenty of storage. movies,",Medium
santa dropped this off for our 4th grader along with expanded memory. he uses it for netflix and youtube as well as minecraft and other apps. why spend hundreds on something for basic kids needs? i'm sure this will last him a few years and is well worth the price.,Medium
my son is 3 and he loves it so easy to use. it's great.,Medium
my son is 4 and he loves it. super easy to use for kids.,Medium
"hard to use, no way to delete things from screen. need better manual. most books are impossible if they are reference books.",No
"great value for the money. however, the operating system is a bit clunky. constant notifications and messages to delete. some can be turned off, other seem to just keep appearing. the reader app surprisingly is less than intuitive.",Medium
"a great kindle reader. easy to order, read and store books. also speedy for finding amazon products and ordering them. but the other apps are really slow - too slow.",Medium
"i purchased this for a small child to use. she is quite happy with it, however it was a little too slow for my taste.",Medium
"if ads dont bother you, then this may be a decent device. purchased this for my kid and it was loaded down with so much spam, it kept loading it up making it slow and laggy. plus the carrasoul loadout makes it hard to navigate for kids, not very kid friendly! oh you can pay $15 to remove the ads but it wont remove them all. buy the samsung, better everything!",No
"thought this would be perfect for my two children. the case, warranty and pass to download unlimited apps seemed great. however, the pad is sometimes unresponsive and inaccurate-which can be frustrating for children. the case is a little too bulky. and it can be confusing for children who want to push an icon to play but it instead downloads. there is a definite learning curve that they will overcome in time but it could be more user friendly for younger users.",No
this my second kindle .. it's light and faster than my previous kindle ..came with free audio books for 30 days which is cool ... better screen .. it does seem to be long than wider .. which i'm ok with and i got this on sale for 60 .. great deal,Medium
i love the light weight for the size! fun tablet!!!,Medium
"i wanted a tablet that was a decent screen size, that could play games, that could stream movies (netflix, prime), that could check e-mails, that could skype, etc. all while remaining affordable (under $100). i have yet to see a tablet in this price range that can do all these things effortlessly, while remaining this affordable. this tablet has handled whatever i throw at it, and with no hiccups. i had the cheaper $50 fire tablet prior to this one, and that thing was slow to process the most basic tasks. if you're looking for an affordable tablet that can do what a more expensive tablet can do, then pick this one up.",No
"the best product for the money. east to use, great color, great features. easy to set up and battery life is great.",Medium
great tablet. picture is super sharp and so easy to read.,Medium
for the price it's a bargain. this is a perfect solution for a reader and simple browsing. i use this at night before bed.,Medium
good deal from black friday sales and will make a very good christmas gift. kids edition excellent with the rubber bumper case which provides pretty good protection.,Medium
"if you need a basic tablet then the fire works. it falls apart when compared to the ipad mini from a usability, functionality and available apps standpoint.",Medium
meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,No
"we love this , so many apps that you can download for free easy to maneuver she will be able to grow with this",Medium
love using my new tablet (amazon fire). easy to use.,Yes
"i bought this kindle for the extra size. i have recently been having trouble with seeing clearly so i figured with the size it may be easier. it was and i really like being able to change the color of the fonts and background, it seems to help immensely.",Medium
this tablet exceeds its reviews. its easy to use and the screen is great.,Medium
"tablet is great, battery satisfactory. case works great, within 10 minutes of opening the tablet, my grandson dropped it. no damage!!easy to use. highly recommend.",Medium
great tablet for the price easy set up and app and data transferring from the original fire.,Yes
the screen breaks way to easy it drop one time broke,Medium
"excellent product. my grandson loves it. fast, easy to use and yet challenging enough that he is learning at the same time",No
this tablet is an easy device to download sites and convenient too!,Medium
